ImgID;Detector;Descriptor;TTCLidar(s);TTCCamera(s);Xmin(m)
8;FAST;BRIEF;9.34376;12.0107;7.475
9;FAST;BRIEF;18.1318;12.3427;7.434
10;FAST;BRIEF;18.0318;12.5213;7.393
11;FAST;BRIEF;3.83244;14.2159;7.205
12;FAST;BRIEF;-10.8537;11.0543;7.272
13;FAST;BRIEF;9.22307;12.0558;7.194
14;FAST;BRIEF;10.9678;11.7063;7.129
15;FAST;BRIEF;8.09422;11.5866;7.042
16;FAST;BRIEF;3.17535;11.7158;6.827
17;FAST;BRIEF;-9.99424;7.56242;6.896
18;FAST;BRIEF;8.30978;11.0839;6.814
;;;;;
1;FAST;ORB;12.9722;12.0767;7.913
2;FAST;ORB;12.264;10.5966;7.849
3;FAST;ORB;13.9161;12.6239;7.793
4;FAST;ORB;7.11572;13.871;7.685
5;FAST;ORB;16.2511;32.168;7.638
6;FAST;ORB;12.4213;12.7186;7.577
7;FAST;ORB;34.3404;12.7282;7.555
8;FAST;ORB;9.34376;12.0404;7.475
9;FAST;ORB;18.1318;11.8068;7.434
10;FAST;ORB;18.0318;13.5598;7.393
11;FAST;ORB;3.83244;13.7238;7.205
12;FAST;ORB;-10.8537;11.4787;7.272
13;FAST;ORB;9.22307;12.511;7.194
14;FAST;ORB;10.9678;11.2847;7.129
15;FAST;ORB;8.09422;10.5244;7.042
16;FAST;ORB;3.17535;11.7538;6.827
17;FAST;ORB;-9.99424;9.80578;6.896
18;FAST;ORB;8.30978;11.7502;6.814
;;;;;
1;FAST;FREAK;12.9722;11.9301;7.913
2;FAST;FREAK;12.264;24.1535;7.849
3;FAST;FREAK;13.9161;13.8858;7.793
4;FAST;FREAK;7.11572;14.3697;7.685
5;FAST;FREAK;16.2511;80.1889;7.638
6;FAST;FREAK;12.4213;12.3469;7.577
7;FAST;FREAK;34.3404;12.4713;7.555
8;FAST;FREAK;9.34376;11.5751;7.475
9;FAST;FREAK;18.1318;12.3427;7.434
10;FAST;FREAK;18.0318;13.3448;7.393
11;FAST;FREAK;3.83244;12.9992;7.205
12;FAST;FREAK;-10.8537;11.6118;7.272
13;FAST;FREAK;9.22307;11.8227;7.194
14;FAST;FREAK;10.9678;11.3502;7.129
15;FAST;FREAK;8.09422;11.1267;7.042
16;FAST;FREAK;3.17535;12.2638;6.827
17;FAST;FREAK;-9.99424;8.52557;6.896
18;FAST;FREAK;8.30978;12.1254;6.814
;;;;;
1;FAST;SIFT;12.9722;11.428;7.913
2;FAST;SIFT;12.264;11.6568;7.849
3;FAST;SIFT;13.9161;14.0491;7.793
4;FAST;SIFT;7.11572;14.7159;7.685
5;FAST;SIFT;16.2511;28.4716;7.638
6;FAST;SIFT;12.4213;13.2095;7.577
7;FAST;SIFT;34.3404;12.2661;7.555
8;FAST;SIFT;9.34376;12.6027;7.475
9;FAST;SIFT;18.1318;12.1254;7.434
10;FAST;SIFT;18.0318;13.8308;7.393
11;FAST;SIFT;3.83244;14.3108;7.205
12;FAST;SIFT;-10.8537;11.803;7.272
13;FAST;SIFT;9.22307;12.5265;7.194
14;FAST;SIFT;10.9678;11.5341;7.129
15;FAST;SIFT;8.09422;11.4113;7.042
16;FAST;SIFT;3.17535;11.2503;6.827
17;FAST;SIFT;-9.99424;7.50634;6.896
18;FAST;SIFT;8.30978;10.822;6.814
;;;;;
1;BRISK;BRIEF;12.9722;12.8448;7.913
2;BRISK;BRIEF;12.264;16.8618;7.849
3;BRISK;BRIEF;13.9161;11.6672;7.793
4;BRISK;BRIEF;7.11572;20.5725;7.685
5;BRISK;BRIEF;16.2511;19.7052;7.638
6;BRISK;BRIEF;12.4213;17.5642;7.577
7;BRISK;BRIEF;34.3404;15.5809;7.555
8;BRISK;BRIEF;9.34376;18.7451;7.475
9;BRISK;BRIEF;18.1318;15.4585;7.434
10;BRISK;BRIEF;18.0318;11.4809;7.393
11;BRISK;BRIEF;3.83244;13.3636;7.205
12;BRISK;BRIEF;-10.8537;14.3071;7.272
13;BRISK;BRIEF;9.22307;12.3266;7.194
14;BRISK;BRIEF;10.9678;10.9457;7.129
15;BRISK;BRIEF;8.09422;11.6289;7.042
16;BRISK;BRIEF;3.17535;12.1739;6.827
17;BRISK;BRIEF;-9.99424;11.3792;6.896
18;BRISK;BRIEF;8.30978;10.7022;6.814
;;;;;
1;BRISK;ORB;12.9722;14.8431;7.913
2;BRISK;ORB;12.264;18.7802;7.849
3;BRISK;ORB;13.9161;13.2755;7.793
4;BRISK;ORB;7.11572;16.3966;7.685
5;BRISK;ORB;16.2511;20.1467;7.638
6;BRISK;ORB;12.4213;19.9254;7.577
7;BRISK;ORB;34.3404;18.2074;7.555
8;BRISK;ORB;9.34376;16.9607;7.475
9;BRISK;ORB;18.1318;14.5576;7.434
10;BRISK;ORB;18.0318;11.3267;7.393
11;BRISK;ORB;3.83244;13.3173;7.205
12;BRISK;ORB;-10.8537;11.3844;7.272
13;BRISK;ORB;9.22307;11.8035;7.194
14;BRISK;ORB;10.9678;12.7655;7.129
15;BRISK;ORB;8.09422;11.2164;7.042
16;BRISK;ORB;3.17535;11.5484;6.827
17;BRISK;ORB;-9.99424;10.2454;6.896
18;BRISK;ORB;8.30978;11.2957;6.814
;;;;;
1;BRISK;FREAK;12.9722;12.7574;7.913
2;BRISK;FREAK;12.264;24.137;7.849
3;BRISK;FREAK;13.9161;13.9605;7.793
4;BRISK;FREAK;7.11572;13.9445;7.685
5;BRISK;FREAK;16.2511;23.0655;7.638
6;BRISK;FREAK;12.4213;16.8726;7.577
7;BRISK;FREAK;34.3404;15.5199;7.555
8;BRISK;FREAK;9.34376;18.7996;7.475
9;BRISK;FREAK;18.1318;14.9704;7.434
10;BRISK;FREAK;18.0318;13.7428;7.393
11;BRISK;FREAK;3.83244;12.8798;7.205
12;BRISK;FREAK;-10.8537;11.4488;7.272
13;BRISK;FREAK;9.22307;11.4362;7.194
14;BRISK;FREAK;10.9678;11.2969;7.129
15;BRISK;FREAK;8.09422;13.3364;7.042
16;BRISK;FREAK;3.17535;10.3718;6.827
17;BRISK;FREAK;-9.99424;9.33041;6.896
18;BRISK;FREAK;8.30978;10.9372;6.814
;;;;;
1;BRISK;SIFT;12.9722;12.9834;7.913
2;BRISK;SIFT;12.264;16.0654;7.849
3;BRISK;SIFT;13.9161;16.6949;7.793
4;BRISK;SIFT;7.11572;12.5648;7.685
5;BRISK;SIFT;16.2511;26.3307;7.638
6;BRISK;SIFT;12.4213;14.504;7.577
7;BRISK;SIFT;34.3404;13.9956;7.555
8;BRISK;SIFT;9.34376;17.0214;7.475
9;BRISK;SIFT;18.1318;17.8988;7.434
10;BRISK;SIFT;18.0318;14.6452;7.393
11;BRISK;SIFT;3.83244;15.9755;7.205
12;BRISK;SIFT;-10.8537;11.7122;7.272
13;BRISK;SIFT;9.22307;13.3127;7.194
14;BRISK;SIFT;10.9678;10.5612;7.129
15;BRISK;SIFT;8.09422;14.2108;7.042
16;BRISK;SIFT;3.17535;11.0325;6.827
17;BRISK;SIFT;-9.99424;10.1474;6.896
18;BRISK;SIFT;8.30978;12.3189;6.814
;;;;;
1;ORB;BRIEF;12.9722;20.6602;7.913
2;ORB;BRIEF;12.264;47.92;7.849
3;ORB;BRIEF;13.9161;103.665;7.793
4;ORB;BRIEF;7.11572;14.0679;7.685
5;ORB;BRIEF;16.2511;22.8925;7.638
6;ORB;BRIEF;12.4213;15.1309;7.577
7;ORB;BRIEF;34.3404;55.1976;7.555
8;ORB;BRIEF;9.34376;76.7595;7.475
9;ORB;BRIEF;18.1318;70.7145;7.434
10;ORB;BRIEF;18.0318;16.2625;7.393
11;ORB;BRIEF;3.83244;17.4453;7.205
12;ORB;BRIEF;-10.8537;14.1185;7.272
13;ORB;BRIEF;9.22307;13.301;7.194
14;ORB;BRIEF;10.9678;9.71308;7.129
15;ORB;BRIEF;8.09422;8.816;7.042
16;ORB;BRIEF;3.17535;10.9804;6.827
17;ORB;BRIEF;-9.99424;13.442;6.896
18;ORB;BRIEF;8.30978;18.4392;6.814
;;;;;
1;ORB;ORB;12.9722;19.4626;7.913
2;ORB;ORB;12.264;10.7511;7.849
3;ORB;ORB;13.9161;16.6755;7.793
4;ORB;ORB;7.11572;21.651;7.685
5;ORB;ORB;16.2511;50.6064;7.638
6;ORB;ORB;12.4213;32.002;7.577
7;ORB;ORB;34.3404;19504;7.555
8;ORB;ORB;9.34376;10.6652;7.475
9;ORB;ORB;18.1318;141.212;7.434
10;ORB;ORB;18.0318;16.9407;7.393
11;ORB;ORB;3.83244;9.15809;7.205
12;ORB;ORB;-10.8537;26.0409;7.272
13;ORB;ORB;9.22307;9.45481;7.194
14;ORB;ORB;10.9678;9.63066;7.129
15;ORB;ORB;8.09422;12.9444;7.042
16;ORB;ORB;3.17535;10.4631;6.827
17;ORB;ORB;-9.99424;16.6667;6.896
18;ORB;ORB;8.30978;30.2685;6.814
;;;;;
1;ORB;FREAK;12.9722;12.1791;7.913
2;ORB;FREAK;12.264;20.1206;7.849
3;ORB;FREAK;13.9161;17.4865;7.793
4;ORB;FREAK;7.11572;10.8706;7.685
5;ORB;FREAK;16.2511;#NAME?;7.638
6;ORB;FREAK;12.4213;11.5438;7.577
7;ORB;FREAK;34.3404;#NAME?;7.555
8;ORB;FREAK;9.34376;9.02151;7.475
9;ORB;FREAK;18.1318;13.3112;7.434
10;ORB;FREAK;18.0318;#NAME?;7.393
11;ORB;FREAK;3.83244;7.95795;7.205
12;ORB;FREAK;-10.8537;35.8486;7.272
13;ORB;FREAK;9.22307;6.5346;7.194
14;ORB;FREAK;10.9678;57.3947;7.129
15;ORB;FREAK;8.09422;8.60003;7.042
16;ORB;FREAK;3.17535;9.3402;6.827
17;ORB;FREAK;-9.99424;11.3219;6.896
18;ORB;FREAK;8.30978;16.8655;6.814
;;;;;
1;ORB;SIFT;12.9722;12.8362;7.913
2;ORB;SIFT;12.264;10.5162;7.849
3;ORB;SIFT;13.9161;11.669;7.793
4;ORB;SIFT;7.11572;209.183;7.685
5;ORB;SIFT;16.2511;502.13;7.638
6;ORB;SIFT;12.4213;21.0101;7.577
7;ORB;SIFT;34.3404;#NAME?;7.555
8;ORB;SIFT;9.34376;10.4477;7.475
9;ORB;SIFT;18.1318;15.1132;7.434
10;ORB;SIFT;18.0318;11.1389;7.393
11;ORB;SIFT;3.83244;10.1214;7.205
12;ORB;SIFT;-10.8537;#NAME?;7.272
13;ORB;SIFT;9.22307;7.94456;7.194
14;ORB;SIFT;10.9678;18.6477;7.129
15;ORB;SIFT;8.09422;13.6989;7.042
16;ORB;SIFT;3.17535;9.56045;6.827
17;ORB;SIFT;-9.99424;18.3228;6.896
18;ORB;SIFT;8.30978;10.7852;6.814
;;;;;
1;AKAZE;BRIEF;12.9722;13.2804;7.913
2;AKAZE;BRIEF;12.264;15.381;7.849
